                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 1.0316,                0.86722,                 1.0379,                0.95374,                 0.8886,                0.94556,                0.79184,                0.84173,                 0.7011,                0.94951,              0.0001882,              0.0001882,              0.0001882
                     85,                 1.0512,                0.89517,                 1.0503,                0.95901,                 0.8888,                0.94627,                0.78714,                0.82526,                0.69185,                0.94484,              0.0001783,              0.0001783,              0.0001783
                     86,                 1.0919,                0.90893,                 1.0751,                0.96617,                0.88629,                0.94652,                0.78383,                0.80933,                0.68739,                0.94223,              0.0001684,              0.0001684,              0.0001684
                     87,                 1.0311,                0.85413,                 1.0509,                 0.9497,                0.90601,                0.94669,                0.77898,                  0.815,                0.68991,                0.94423,              0.0001585,              0.0001585,              0.0001585
                     88,                 1.0665,                0.85081,                 1.0568,                0.94694,                0.91522,                0.94702,                0.77798,                0.81739,                0.69839,                0.94382,              0.0001486,              0.0001486,              0.0001486
                     89,                 1.0256,                0.87112,                 1.0471,                0.95148,                0.91386,                0.94877,                0.77874,                 0.8134,                0.69876,                0.94109,              0.0001387,              0.0001387,              0.0001387
                     90,                 1.0233,                0.86403,                 1.0184,                0.96607,                 0.9128,                0.94928,                0.77821,                0.80733,                0.69265,                0.93699,              0.0001288,              0.0001288,              0.0001288
                     91,                0.98453,                 0.8444,                 1.0122,                0.96938,                  0.917,                0.94901,                0.78749,                0.79591,                0.69181,                0.93244,              0.0001189,              0.0001189,              0.0001189
                     92,                0.95132,                0.85328,                  1.014,                0.97591,                0.91381,                 0.9492,                 0.7944,                0.78943,                 0.6939,                0.93101,               0.000109,               0.000109,               0.000109
                     93,                 0.9596,                0.82679,                 1.0344,                0.97103,                 0.9162,                0.94971,                0.79448,                0.79519,                0.69001,                0.93291,               9.91e-05,               9.91e-05,               9.91e-05
                     94,                0.95531,                0.80215,                 1.0328,                0.95899,                0.92043,                 0.9495,                0.79732,                0.81197,                0.68642,                0.93727,               8.92e-05,               8.92e-05,               8.92e-05
                     95,                0.90994,                0.75679,                0.98586,                0.96176,                0.91865,                0.94949,                0.79973,                0.80879,                0.68346,                0.93601,               7.93e-05,               7.93e-05,               7.93e-05
                     96,                0.92608,                0.76567,                0.99826,                 0.9664,                0.91994,                0.94839,                0.80336,                0.79486,                0.67899,                0.93165,               6.94e-05,               6.94e-05,               6.94e-05
                     97,                0.90994,                0.75918,                0.99626,                0.96309,                0.91655,                0.94502,                 0.8048,                0.77956,                0.67365,                0.92725,               5.95e-05,               5.95e-05,               5.95e-05
                     98,                0.93635,                0.80213,                 1.0151,                0.96343,                0.91995,                0.94554,                0.80249,                0.76947,                0.66748,                0.92426,               4.96e-05,               4.96e-05,               4.96e-05
                     99,                0.94885,                0.79221,                 1.0161,                0.96494,                0.91927,                0.94618,                0.79855,                0.76325,                0.66384,                0.92253,               3.97e-05,               3.97e-05,               3.97e-05
                    100,                0.96767,                0.80097,                 1.0259,                0.96546,                0.91585,                0.94627,                0.79832,                0.75687,                0.66101,                0.92009,               2.98e-05,               2.98e-05,               2.98e-05
